회계년도	종목검색
연번	종목명	1Q	2Q	3Q	4Q	합계	종가	배당수익률 ▼
1	고려아연				20,000	20,000	564,000	3.54
2	효성첨단소재				15,000	15,000	333,500	4.49
3	삼성화재				13,800	13,800	200,000	6.90
4	LG화학				10,000	10,000	600,000	1.66
5	효성티앤씨				10,000	10,000	350,000	2.85
6	영풍				10,000	10,000	605,000	1.65
7	오뚜기				9,000	9,000	476,000	1.89
8	KCC		1,000		7,000	8,000	204,500	3.91
9	엔씨소프트				6,680	6,680	448,000	1.49
10	현대차		1,000		6,000	7,000	151,000	4.63
11	SK이노베이션				5,840	5,840	154,000	3.79
12	현대글로비스				5,700	5,700	163,500	3.48
13	금호석유				5,400	5,400	126,000	4.28
14	KT&G				5,000	5,000	91,500	5.46
15	농심				5,000	5,000	357,000	1.40
16	DB손해보험				4,600	4,600	65,300	7.04
17	효성				4,500	4,500	67,100	6.70
18	LG이노텍				4,150	4,150	252,500	1.64
19	BGF리테일				4,100	4,100	210,500	1.94
20	LG생활건강				4,000	4,000	722,000	0.55
21	신세계				3,750	3,750	220,000	1.70
22	HD현대		900		3,700	4,600	57,100	8.05
23	SK		1,500		3,500	5,000	189,000	2.64
24	롯데케미칼				3,500	3,500	178,500	1.96
25	롯데정밀화학				3,500	3,500	56,700	6.17
26	기아				3,500	3,500	59,300	5.90
27	롯데칠성				3,300	3,300	176,000	1.87
28	롯데쇼핑				3,300	3,300	91,000	3.62
29	삼성에스디에스				3,200	3,200	123,000	2.60
30	S-Oil		2,500		3,000	5,500	83,400	6.59
31	현대모비스		1,000		3,000	4,000	200,500	1.99
32	LG				3,000	3,000	78,100	3.84
33	삼성생명				3,000	3,000	71,000	4.22
34	LX인터내셔널				3,000	3,000	33,950	8.83
35	키움증권				3,000	3,000	84,000	3.57
36	현대홈쇼핑				2,600	2,600	53,900	4.82
37	하나금융지주		800		2,550	3,350	42,050	7.96
38	CJ제일제당	1,000	1,000	1,000	2,500	5,500	380,500	1.44
39	삼성카드				2,500	2,500	29,550	8.46
40	GS				2,500	2,500	43,800	5.70
41	CJ				2,500	2,500	84,100	2.97
42	에스원				2,500	2,500	59,300	4.21
43	OCI홀딩스				2,500	2,500	80,800	3.09
44	삼성물산				2,300	2,300	113,500	2.02
45	한국금융지주				2,300	2,300	53,300	4.31
46	롯데웰푸드				2,300	2,300	122,500	1.87
47	삼성전기				2,100	2,100	130,500	1.60
48	한솔케미칼				2,100	2,100	185,500	1.13
49	POSCO홀딩스	4,000	4,000	2,000	2,000	12,000	276,500	4.33
50	두산				2,000	2,000	83,100	2.40
51	이마트				2,000	2,000	98,000	2.04
52	현대해상				1,965	1,965	29,450	6.67
53	KT				1,960	1,960	33,800	5.79
54	태광산업				1,750	1,750	746,000	0.23
55	녹십자				1,750	1,750	129,500	1.35
56	삼성증권				1,700	1,700	31,450	5.40
57	F&F				1,600	1,600	144,500	1.10
58	LS				1,550	1,550	69,700	2.22
59	영원무역				1,530	1,530	46,950	3.25
60	롯데지주				1,500	1,500	30,800	4.87
61	LIG넥스원				1,500	1,500	92,200	1.62
62	KB금융	500	500	500	1,450	2,950	48,500	6.08
63	한전KPS				1,305	1,305	33,200	3.93
64	현대백화점				1,300	1,300	59,000	2.20
65	DB하이텍				1,300	1,300	37,150	3.49
66	코오롱인더				1,300	1,300	41,150	3.15
67	코웨이				1,300	1,300	55,900	2.32
68	GS건설				1,300	1,300	21,150	6.14
69	HMM				1,200	1,200	19,550	6.13
70	제일기획				1,150	1,150	23,050	4.98
71	SK케미칼		400		1,100	1,500	73,200	2.04
72	SKC				1,100	1,100	88,500	1.24
73	LS ELECTRIC				1,100	1,100	56,400	1.95
74	삼성SDI				1,030	1,030	591,000	0.17
75	풍산				1,000	1,000	33,650	2.97
76	한화에어로스페이스				1,000	1,000	73,600	1.35
77	DL이앤씨				1,000	1,000	33,750	2.96
78	현대제철				1,000	1,000	30,600	3.26
79	포스코인터내셔널				1,000	1,000	22,600	4.42
80	종근당				1,000	1,000	82,100	1.21
81	TKG휴켐스				1,000	1,000	20,000	5.00
82	DL				1,000	1,000	59,200	1.68
83	대한유화				1,000	1,000	171,500	0.58
84	우리금융지주		150		980	1,130	11,550	9.78
85	기업은행				960	960	9,820	9.77
86	오리온				950	950	128,000	0.74
87	하이트진로				950	950	25,550	3.71
88	신한지주	400	400	400	865	2,065	35,200	5.86
89	SK텔레콤	830	830	830	830	3,320	47,400	7.00
90	한국타이어앤테크놀로지				800	800	31,150	2.56
91	대상				800	800	21,900	3.65
92	PI첨단소재				779	779	28,900	2.69
93	휠라홀딩스		830		750	1,580	33,250	4.75
94	두산밥캣		600		750	1,350	34,600	3.90
95	한섬				750	750	27,050	2.77
96	대한항공				750	750	22,950	3.26
97	한화				750	750	25,650	2.92
98	동서				730	730	20,200	3.61
99	JB금융지주		120		715	835	7,890	10.58
100	현대위아				700	700	49,450	1.41
101	오리온홀딩스				700	700	15,350	4.56
102	쿠쿠홈시스				700	700	29,400	2.38
103	NH투자증권				700	700	8,770	7.98
104	LG전자				700	700	86,500	0.80
105	아모레퍼시픽				680	680	137,500	0.49
106	DGB금융지주				650	650	6,990	9.29
107	한국앤컴퍼니				650	650	13,950	4.65
108	BNK금융지주				625	625	6,500	9.61
109	삼양식품		800		600	1,400	127,000	1.10
110	동원시스템즈				600	600	40,600	1.47
111	세방전지				600	600	42,350	1.41
112	더블유게임즈				600	600	47,250	1.26
113	대웅제약				600	600	158,500	0.37
114	HDC현대산업개발				600	600	10,000	6.00
115	현대건설				600	600	34,900	1.71
116	에스엘				600	600	22,950	2.61
117	한일시멘트				580	580	11,650	4.97
118	지누스				530	530	35,000	1.51
119	한국콜마				500	500	42,600	1.17
120	HL만도				500	500	40,300	1.24
121	한세실업				500	500	15,400	3.24
122	신세계인터내셔날				500	500	24,750	2.02
123	현대엘리베이				500	500	28,300	1.76
124	CJ대한통운				500	500	93,700	0.53
125	씨에스윈드				500	500	68,800	0.72
126	한미약품				500	500	298,000	0.16
127	GS리테일				430	430	28,150	1.52
128	LG유플러스		250		400	650	11,050	5.88
129	유한양행				400	400	57,200	0.69
130	셀트리온				375	375	160,500	0.23
131	삼성전자	361	361	361	361	1,444	55,300	2.61
132	강원랜드				350	350	23,200	1.50
133	SK하이닉스	300	300	300	300	1,200	75,000	1.60
134	포스코퓨처엠				300	300	180,000	0.16
135	롯데에너지머티리얼즈				300	300	51,900	0.57
136	녹십자홀딩스				300	300	17,000	1.76
137	에스디바이오센서		700		290	990	30,150	3.28
138	한전기술				283	283	54,600	0.51
139	한화시스템				250	250	10,550	2.36
140	한국항공우주				250	250	50,900	0.49
141	율촌화학				250	250	36,450	0.68
142	HD현대인프라코어				240	240	8,000	3.00
143	아모레G				205	205	34,900	0.58
144	미래에셋증권				200	200	6,080	3.28
145	호텔신라				200	200	83,100	0.24
146	한미사이언스				200	200	32,450	0.61
147	케이카	190	190	190	190	760	11,550	6.58
148	한진칼				170	170	37,450	0.45
149	KG스틸				150	150	7,390	2.02
150	팬오션				150	150	5,730	2.61
151	SK네트웍스				120	120	3,870	3.10
152	쌍용C&E	110	110	110	110	440	5,760	7.63
